mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06234817504882813,0.03815944614546607,0.030022192001342773,0.0016270126317750062,100.0,0.2,0.01,"{'svr__C': 100, 'svr__epsilon': 0.2, 'svr__gamma': 0.01}",-301.6483393928132,-551.5020234254214,-1848.0306101947465,-1462.319616079169,-423.55419570730356,-917.4109569598908,619.6653669906718,42
0.05712947845458984,0.008020203890175714,0.03637142181396484,0.009793996011018982,100.0,0.01,0.01,"{'svr__C': 100, 'svr__epsilon': 0.01, 'svr__gamma': 0.01}",-301.61276384360104,-551.5114658872733,-1848.095534012568,-1462.3444835043579,-423.49778339688703,-917.4124061289373,619.7041883894242,43
0.06054368019104004,0.012702555461359784,0.04129514694213867,0.0084719554766117,100.0,0.5,0.01,"{'svr__C': 100, 'svr__epsilon': 0.5, 'svr__gamma': 0.01}",-301.7048498425189,-551.5183269779983,-1847.9281955033225,-1462.3078914343535,-423.6433534929694,-917.4205234502324,619.6051764178111,44
0.053789281845092775,0.009061676202050076,0.03262944221496582,0.006303258809883481,100.0,1.0,0.01,"{'svr__C': 100, 'svr__epsilon': 1.0, 'svr__gamma': 0.01}",-301.79938660745825,-551.545527007985,-1847.7577087397747,-1462.319574733566,-423.79242125631123,-917.442923669019,619.5102666361346,45
0.05903902053833008,0.015848270536072056,0.04496312141418457,0.016615230720598635,10.0,0.01,auto,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'auto'}",-342.6051696376956,-590.3136256880314,-1914.390095415835,-1567.757202005552,-521.4212698759205,-987.297472524607,630.3489835342932,46
0.04884977340698242,0.008210354253572402,0.035767984390258786,0.010170823894910162,10.0,0.1,auto,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'auto'}",-342.6051696376956,-590.3136256880314,-1914.390095415835,-1567.7969769504152,-521.3838453566192,-987.2979426097194,630.3618411814704,47
0.05663862228393555,0.025072004319060683,0.028525018692016603,0.0011502124115613918,10.0,0.2,auto,"{'svr__C': 10, 'svr__epsilon': 0.2, 'svr__gamma': 'auto'}",-342.6051696376956,-590.3136256880314,-1914.390095415835,-1567.8473848255294,-521.3422776287366,-987.2997106391656,630.377270492543,48
0.056572341918945314,0.013846587987798416,0.03638143539428711,0.00785963575545864,10.0,0.5,auto,"{'svr__C': 10, 'svr__epsilon': 0.5, 'svr__gamma': 'auto'}",-342.6051696376956,-590.3025619044466,-1914.390095415835,-1567.9986369931646,-521.2176696696976,-987.302826724168,630.4249488686735,49
0.06356425285339355,0.013642955198152914,0.04576611518859863,0.009581482725683606,10.0,1.0,auto,"{'svr__C': 10, 'svr__epsilon': 1.0, 'svr__gamma': 'auto'}",-342.6051696376956,-590.2705168667843,-1914.390095415835,-1568.250819052671,-521.0103073809852,-987.3053816707941,630.5061159492338,50
0.05595235824584961,0.011849304558977028,0.03629460334777832,0.009765221777429436,100.0,0.01,0.001,"{'svr__C': 100, 'svr__epsilon': 0.01, 'svr__gamma': 0.001}",-344.2522947608223,-592.8541703363786,-1916.5585257089203,-1563.152979476721,-524.6924902183206,-988.3020921002326,629.0034359986992,51
